# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 14 23:02:54 HKT 2024 [seed=1720969373677]
# outbreak.seq_run_2.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	default.clock.rate	host.clock.rate	default.meanRate	host.meanRate	host.rates.human.pig	default.treeLikelihood	default.branchRates	host.branchRates	host.treeLikelihood	coalescent
3599000	-27037.06944463433	-162.3765117019625	-26874.69293293237	0.9021510791101934	2023.3792696859173	15.078265266820866	4.791801009873647	2.7367554502621045	0.7023052678469155	0.3359133379787883	0.18955121203075212	0.2006807233552563	0.27385472663520477	7.266372187745689E-4	0.4850624176848532	7.266372187745692E-4	0.48506241768485336	1.196773430484954	-26830.12564250873	0.0	0.0	-44.56729042363947	-154.81881232678634
3600000	-27033.908298511014	-165.71823031262184	-26868.190068198393	0.9027469102760207	2023.3786738547515	14.906118108161047	3.3297881740159267	1.4969418781362174	0.7023052678469155	0.334628804078714	0.18955121203075212	0.20196525725533065	0.27385472663520477	6.518110181468472E-4	0.5536199775781414	6.518110181468468E-4	0.5536199775781413	1.2080590677297507	-26821.61911020007	0.0	0.0	-46.570957998322385	-158.7926253042125
3601000	-27027.374802176586	-160.27616500773053	-26867.098637168856	0.9211103010914329	2023.360310463936	14.566719872972701	3.049102000265437	1.6247256057188877	1.1074534300609473	0.334628804078714	0.18516813649337127	0.20196525725533065	0.27823780217258565	6.600302888431917E-4	0.6734021690638305	6.600302888431908E-4	0.6734021690638301	0.23886774062452612	-26823.39098646543	0.0	0.0	-43.70765070342634	-152.4686316339953
3602000	-27025.09421096494	-144.7763856865654	-26880.317825278376	0.9813645655703408	2023.300056199457	13.934472628965814	2.3115676081067216	1.2025046270028763	0.9989224014165567	0.334628804078714	0.18516813649337127	0.20196525725533065	0.27823780217258565	7.125284500439091E-4	0.3666724385832157	7.125284500439087E-4	0.36667243858321563	0.26590928777870454	-26830.521049711584	0.0	0.0	-49.796775566792256	-142.6022725400247
3603000	-27034.644908313574	-155.3704313795694	-26879.274476934006	0.9838614847232738	2023.297559280304	14.386533399852981	2.620315315681813	1.5207071192644597	1.144099028991784	0.3328090961385588	0.18698784443352648	0.20196525725533065	0.27823780217258565	6.606500772016804E-4	0.39775605720723445	6.606500772016807E-4	0.39775605720723417	0.9160527386498858	-26831.042380284365	0.0	0.0	-48.23209664964221	-151.46447453693125
3604000	-27028.729207208944	-158.11270435435557	-26870.616502854587	0.9840313240933505	2023.297389440934	14.455813134478907	3.866115741985171	2.4971241605742636	0.844323424432847	0.3328090961385588	0.1863347153842572	0.20196525725533065	0.27889093122185493	7.043435790484722E-4	0.4758629611427749	7.04343579048472E-4	0.475862961142775	0.11342577977989511	-26828.88479432268	0.0	0.0	-41.73170853190953	-152.4758237420468
3605000	-27042.008007911663	-167.84903295594287	-26874.15897495572	0.8610198865197768	2023.4204008785077	15.358844036659697	5.605694807645063	2.785457227397351	0.7989306344405327	0.3328090961385588	0.1863347153842572	0.20196525725533065	0.27889093122185493	6.025054648577089E-4	0.30218593793073384	6.025054648577087E-4	0.30218593793073395	0.8120711589006855	-26826.135829647614	0.0	0.0	-48.02314530810644	-163.47098400094333
3606000	-27051.041557860215	-176.60907658350573	-26874.432481276708	1.1004804776254982	2023.1809402874019	16.42863080376418	6.1999333798212435	3.3950374933028438	0.9415658532126168	0.33289126182913803	0.1863347153842572	0.20188309156475145	0.27889093122185493	6.162248570537382E-4	0.5884245613368365	6.162248570537384E-4	0.5884245613368368	1.7997621917888134	-26826.433724540715	0.0	0.0	-47.99875673599313	-165.18504908924797
3607000	-27052.05438696884	-179.25611633259084	-26872.79827063625	1.0055678801230696	2023.2758528849042	16.20598498524546	4.982625495010655	2.813625458061465	1.0817211189545735	0.3328299879585602	0.1863347153842572	0.20194436543532923	0.27889093122185493	5.45831425723605E-4	0.8118651752421366	5.458314257236049E-4	0.8118651752421362	0.4198206594657584	-26829.66712110951	0.0	0.0	-43.131149526739726	-166.35853047033515
3608000	-27048.810659193532	-178.36546830381786	-26870.445190889714	0.8338525735032797	2023.4475681915242	16.24706950563633	6.062347689924817	3.093230168249455	0.865636217542607	0.33169910966470295	0.18746559367811447	0.20194436543532923	0.27889093122185493	6.583115195865262E-4	0.4899567862291453	6.583115195865261E-4	0.48995678622914574	0.2501689580164966	-26826.862026631137	0.0	0.0	-43.583164258577284	-170.59354478670792
